Team Name,2004,2005,2006,2008,2009,2010,2011,2012,2013,2014,2015
ALR,Y,N,N,N,Y,N,N,N,N,N,N
Maple Brit's,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
7.3 dancer,N,N,N,Y,N,N,N,N,N,N,N
STZ's 2nd,N,N,N,N,Y,N,N,N,N,N,N
simple smooth,N,N,N,N,N,Y,Y,N,N,N,N
Genesis,N,N,N,N,N,N,Y,N,N,N,N
ニコニコクラスタでbmsを作る会(β),N,N,N,N,N,N,Y,N,N,N,N
Brilliant Wave Team. 2,N,N,N,N,N,N,Y,N,N,N,N
Prismatic Music,N,N,N,N,N,N,N,Y,N,N,N
To Be Continued,N,N,N,N,N,N,N,Y,N,N,N
Lucky Like Star,N,N,N,N,N,N,N,Y,N,N,N
ぼっち,N,N,N,N,N,N,N,Y,Y,N,N
Monopoly,N,N,N,N,N,N,N,Y,Y,Y,Y
菊田研究所,Y,Y,N,N,N,Y,N,N,N,N,N
アレンジ楽団・キャプテン大山★愛,Y,N,N,N,N,N,N,N,N,N,N
(T＆T),N,N,N,N,N,Y,Y,Y,N,N,N
オールスターBMS作者歌がうまい王座決定戦,N,N,N,N,N,N,N,Y,N,N,N
Corundum,N,N,N,N,N,N,N,N,Y,Y,N
杉浦さん,N,N,N,N,N,N,N,N,Y,N,N
3匹のテクノ,N,N,N,N,N,N,N,N,N,N,Y
日本ドラムンベース協会,N,N,N,N,N,N,Y,N,Y,N,N
杉浦さん,N,N,N,N,N,N,N,N,Y,N,N
3匹のテクノ,N,N,N,N,N,N,N,N,N,N,Y
