Team Name,ALR,Maple Brit's,7.3 dancer,STZ's 2nd,simple smooth,Genesis,ニコニコクラスタでbmsを作る会(β),Brilliant Wave Team. 2,Prismatic Music,To Be Continued,Lucky Like Star,ぼっち,Monopoly,菊田研究所,アレンジ楽団・キャプテン大山★愛,(T＆T),オールスターBMS作者歌がうまい王座決定戦,Corundum,杉浦さん,3匹のテクノ,日本ドラムンベース協会,杉浦さん,3匹のテクノ
2004,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N
2005,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
2006,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2008,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2009,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2010,N,Y,N,N,Y,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N
2011,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N
2012,N,Y,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N
2013,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,Y,N,Y,Y,N
2014,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N
2015,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,Y
