Team Name,2004,2005,2006,2008,2009,2010,2011,2012,2013,2014,2015
Maple Brit's,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
Monopoly,N,N,N,N,N,N,N,Y,Y,Y,Y
(T＆T),N,N,N,N,N,Y,Y,Y,N,N,N
菊田研究所,Y,Y,N,N,N,Y,N,N,N,N,N
simple smooth,N,N,N,N,N,Y,Y,N,N,N,N
ぼっち,N,N,N,N,N,N,N,Y,Y,N,N
Corundum,N,N,N,N,N,N,N,N,Y,Y,N
ALR,Y,N,N,N,Y,N,N,N,N,N,N
dawn-system,N,N,N,N,N,Y,N,N,Y,N,N
アレンジ楽団・キャプテン大山★愛,Y,N,N,N,N,N,N,N,N,N,N
hopeless erotic box,N,N,Y,N,N,N,N,N,N,N,N
BEAT RASH MUSIC,N,N,Y,N,N,N,N,N,N,N,N
7.3 dancer,N,N,N,Y,N,N,N,N,N,N,N
STZ's 2nd,N,N,N,N,Y,N,N,N,N,N,N
姫様！,N,N,N,N,N,Y,N,N,N,N,N
I Hate Macintosh,N,N,N,N,N,Y,N,N,N,N,N
DESTROY THEM ALL,N,N,N,N,N,Y,N,N,N,N,N
Brilliant Wave Team. 2,N,N,N,N,N,N,Y,N,N,N,N
Genesis,N,N,N,N,N,N,Y,N,N,N,N
Lyrical Signal Revival,N,N,N,N,N,N,Y,N,N,N,N
Team NIMONO,N,N,N,N,N,N,Y,N,N,N,N
ニコニコクラスタでbmsを作る会(β),N,N,N,N,N,N,Y,N,N,N,N
Lucky Like Star,N,N,N,N,N,N,N,Y,N,N,N
Prismatic Music,N,N,N,N,N,N,N,Y,N,N,N
Qpic Sound Complexan,N,N,N,N,N,N,N,Y,N,N,N
Speed Ogre Spirits,N,N,N,N,N,N,N,Y,N,N,N
To Be Continued,N,N,N,N,N,N,N,Y,N,N,N
オールスターBMS作者歌がうまい王座決定戦,N,N,N,N,N,N,N,Y,N,N,N
杉浦さん,N,N,N,N,N,N,N,N,Y,N,N
Qpic Sound Complexan Side L,N,N,N,N,N,N,N,N,Y,N,N
Project;XideChain,N,N,N,N,N,N,N,N,N,Y,N
なめらかプリン,N,N,N,N,N,N,N,N,N,Y,N
[SBD Be-Music],N,N,N,N,N,N,N,N,N,N,Y
3匹のテクノ,N,N,N,N,N,N,N,N,N,N,Y
